시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울특별시,성동구,일반,여자,85세이상,946 ,48 ,77 ,207 ,319 ,87 ,22 ,46 ,25 ,14 
서울특별시,성동구,기초,남자,65세미만,43 ,*,*,5 ,12 ,*,0 ,7 ,*,*
서울특별시,성동구,기초,남자,65-69세,51 ,*,0 ,7 ,13 ,*,5 ,6 ,*,*
서울특별시,성동구,기초,남자,70-74세,37 ,0 ,*,6 ,5 ,*,*,*,*,*
서울특별시,성동구,기초,남자,75-79세,37 ,0 ,*,7 ,11 ,*,*,5 ,*,*
서울특별시,성동구,기초,남자,80-84세,46 ,0 ,*,*,20 ,*,*,*,*,*
서울특별시,성동구,기초,남자,85세이상,30 ,0 ,*,*,9 ,*,*,*,*,0 
서울특별시,성동구,기초,여자,65세미만,14 ,*,*,*,*,0 ,*,*,*,*
서울특별시,성동구,기초,여자,65-69세,42 ,*,*,*,5 ,*,*,6 ,9 ,*
서울특별시,성동구,기초,여자,70-74세,41 ,*,*,5 ,14 ,*,*,0 ,*,5 
서울특별시,성동구,기초,여자,75-79세,84 ,*,5 ,13 ,25 ,6 ,*,8 ,*,5 
서울특별시,성동구,기초,여자,80-84세,125 ,*,11 ,23 ,41 ,11 ,*,8 ,7 ,*
서울특별시,성동구,기초,여자,85세이상,181 ,6 ,19 ,51 ,75 ,10 ,*,*,*,0 
서울특별시,성동구,의료,남자,70-74세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,성동구,의료,남자,75-79세,*,0 ,0 ,0 ,0 ,0 ,*,0 ,0 ,0 
서울특별시,성동구,의료,남자,80-84세,*,0 ,*,*,0 ,*,0 ,0 ,0 ,0 
서울특별시,성동구,의료,남자,85세이상,*,0 ,0 ,*,*,0 ,0 ,0 ,0 ,0 
서울특별시,성동구,의료,여자,65-69세,*,0 ,0 ,0 ,0 ,0 ,0 ,*,0 ,*
